식품명,단백질(g),지방(g),탄수화물(g),당류(g),에너지(kcal)
냉이나물,5.02,3.07,15.7,10.45,111
도라지나물무침,2.48,7.52,13.12,0.9,130
머위대나물무침,3.96,2.56,4.76,0.34,58
무나물무침,0.62,0.46,3.64,3.3,21
방풍나물무침,4.39,1.73,10.74,2.91,76
배추나물,2.01,2.19,8.45,6.24,61
비름나물무침,3.46,4.05,5.7,0.86,73
숙주나물,2.22,1.58,2.96,1.58,35
시금치나물,3.74,4.46,3.36,0.1,69
시래기나물무침,4.32,7.28,7.74,0.54,114
씀바귀나물무침,3.87,1.73,16.57,1.28,97
열무나물,3.91,5.3,4.76,0.6,82
열무나물_된장,3.71,4.09,4.09,0.73,68
유채나물,5.8,4.6,7.82,1.98,96
참나물,2.51,3.69,4.14,0.67,60
취나물_된장,3.08,1.66,4.12,0.84,44
취나물_취나물(마른것),3.62,5.4,6.4,0,89
콩나물무침,3.86,4.54,3.2,0.5,69
콩나물무침_고춧가루,3.93,5.93,5.93,1.9,93
토란대나물무침,5.14,3.38,4.22,0.39,68
호박오가리나물무침,6.14,10.01,21.46,6.82,201
가죽나물무침,5.83,1.35,10.05,3.81,76
겉절이_배추,2.28,2.14,6.58,1.3,55
겉절이_상추,2.36,3.41,5.26,2.98,61
겉절이_열무,2.4,2.94,5.38,2.26,58
겉절이_치커리,1.49,3.65,4.4,3.71,56
골뱅이무침_소면,5.01,1.47,18.91,3.57,109
굴무침,6.68,2.31,7.3,2.74,77
김무침,21.17,10.73,19.33,5.73,259
낙지무침,12.41,1.24,3.96,0.14,77
냉채_닭고기,13.08,1.95,5,4.8,90
다시마무침,2.57,1.18,6.8,0,48
달래무침,2.92,3.02,6.07,3.83,63
도라지생채,2.06,0.51,16.15,5.25,77
두릅무침_초고추장,2.16,3.01,7.89,4.54,67
마늘쫑무침,2.73,4.93,12.77,7.47,106
무말랭이무침,4.2,1.55,22.5,4.1,121
무생채,2.43,1.11,7.33,1.78,49
무생채_굴,3.68,1.26,5.92,4.04,50
묵무침_도토리묵,0.93,2.95,10.92,1.82,74
물회_오징어,6.19,1.2,3.26,2.1,49
미나리무침,1.31,2.13,5.41,2.24,46
미역초무침,1.18,1.02,5.24,1.3,35
민들레잎무침,2.69,2.33,12.32,8.16,81
버섯무침_느타리버섯,2.74,3.77,3.44,0.09,59
부추무침,3.5,5.92,6.25,3.06,92
부추무침_양파,1.83,1.07,6.81,5.79,44
