식품명,단백질(g),지방(g),탄수화물(g),당류(g),에너지(kcal)
"옥수수, 메옥수수, 말린것",9.94,3.83,74.12,1.94,358
"옥수수, 메옥수수, 강다옥, 말린것",9.82,4.46,73.68,1.32,361
"옥수수, 메옥수수, 광평옥, 말린것",9.73,4.69,72.54,1.41,358
"옥수수, 메옥수수, 다안옥, 말린것",10.25,4.28,72.49,1.54,356
"옥수수, 메옥수수, 다평옥, 말린것",9.02,3.64,75.32,2.13,359
"옥수수, 메옥수수, 신광옥, 말린것",9.79,3.06,74.78,1.70,354
"옥수수, 메옥수수, 신황옥, 말린것",10.22,3.62,74.14,2.51,357
"옥수수, 메옥수수, 안다옥, 말린것",10.25,3.41,74.30,2.27,356
"옥수수, 메옥수수, 양안옥, 말린것",9.56,3.61,74.98,1.72,358
"옥수수, 메옥수수, 장다옥, 말린것",11.00,3.76,73.36,2.26,357
"옥수수, 메옥수수, 창다옥, 말린것",8.93,3.47,75.96,1.79,360
"옥수수, 메옥수수, 청안옥, 말린것",9.11,3.80,75.29,2.40,360
"옥수수, 메옥수수, 평강옥, 말린것",9.45,3.54,75.30,2.16,359
"옥수수, 메옥수수, 평안옥, 말린것",11.77,4.61,71.24,2.26,358
"옥수수, 메옥수수, 황다옥, 말린것",10.32,3.65,74.27,1.64,358
"옥수수, 찰옥수수, 생것",4.79,1.40,28.96,3.42,141
"옥수수, 찰옥수수, 대학, 생것",4.79,1.62,34.02,3.42,164
"옥수수, 찰옥수수, 일미찰, 생것",5.12,1.25,25.18,3.53,126
"옥수수, 찰옥수수, 찰옥4호, 생것",4.63,1.51,33.96,3.74,162
"옥수수, 찰옥수수, 황금맛찰, 생것",4.62,1.21,22.68,2.98,114
"옥수수, 찰옥수수, 삶은것",4.72,1.48,27.42,2.62,136
"옥수수, 찰옥수수, 대학, 삶은것",4.22,1.42,28.85,2.62,140
"옥수수, 찰옥수수, 일미찰, 삶은것",5.14,1.37,25.69,2.83,129
"옥수수, 찰옥수수, 찰옥4호, 삶은것",4.73,1.90,31.65,3.06,156
"옥수수, 찰옥수수, 황금맛찰, 삶은것",4.78,1.24,23.48,1.98,118
"옥수수, 찰옥수수, 찐것",6.6,1.4,25.4,-,132
"옥수수, 찰옥수수, 말린것",11.5,4.6,74.7,-,371
"옥수수, 가루",7.32,0.97,83.30,0.54,364
"옥수수 과자, 강냉이",7.16,3.25,87.90,13.52,409
"옥수수 과자, 팝콘, 전자레인지 조리",8.12,27.28,61.18,0,497
"옥수수 과자, 팝콘, 캐러멜맛",4.77,14.36,77.74,34.78,459
"옥수수, 통조림, 가당",2.07,0.73,22.45,4.17,105
"옥수수, 통조림, 크림",1.7,0.5,18.6,-,82
"옥수수, 통조림, 홀커넬",2.3,0.5,17.8,-7.3,78
옥수수묵,1.1,0,12.6,-,55
"옥수수 샐러드, 콘샐러드",3.2,0.2,22.4,-,104
"율무, 도정, 생것",15.4,3.2,70.5,-,377
"율무, 죽",0.5,0.4,9.5,-,44
"율무 국수, 말린것",13.2,1.2,74.6,-,368
"잡곡, 현미, 찹쌀, 현미찹쌀, 보리 등, 생것",9.79,2.09,73.40,0.93,358
"조, 메조, 도정, 생것",11.48,3.91,71.70,0.71,373
"조, 메조, 다황메, 도정, 생것",11.13,3.96,72.30,0.71,374
"조, 메조, 단아메, 도정, 생것",13.45,4.17,69.16,0.68,372
"조, 메조, 삼다메, 도정, 생것",10.78,3.74,72.57,0.79,372
"조, 메조, 조황메, 도정, 생것",11.33,4.00,71.68,0.89,373
"조, 메조, 도정, 찐것",3.14,1.13,22.71,0,115
"조, 차조, 도정, 생것",10.90,3.80,71.93,0.88,370
"조, 차조, 경관1호, 도정, 생것",10.74,3.82,73.50,0.75,376
"조, 차조, 경관2호, 도정, 생것",12.83,4.37,70.03,0.78,375
"조, 차조, 삼다찰, 도정, 생것",12.07,3.86,70.39,0.97,369
"조, 차조, 황미찰, 도정, 생것",9.28,3.38,74.54,1.06,371
"찹쌀, 백미, 생것",6.64,0.99,78.17,0.29,363
"찹쌀, 백미, 동진찰벼, 생것",6.64,1.04,78.11,0.07,363
"찹쌀, 백미, 백옥찰, 생것",6.77,1.12,78.23,0.55,365
"찹쌀, 백미, 백진주, 생것",6.63,0.76,77.68,0.25,359
"찹쌀, 백미, 보람찰, 생것",6.54,1.04,78.67,0.28,365
"찹쌀, 백미, 화선찰벼, 생것",9.5,2.6,75.2,-,375
"찹쌀, 백미, 보람찰, 밥",2.58,0.33,33.93,0,155
"찹쌀, 백미, 보람찰, 죽",0.91,0.28,11.30,0,53
